#{"t_start": 1521694464.1732147, "env_id": null}
r,l,t
-3.09692,10,2.279924
-8.078328,10,2.282353
-8.083057,10,2.284884
-7.586458,10,2.287282
-12.547971,10,2.289785
-1.905846,10,2.307411
-5.252505,10,2.309694
-9.30477,10,2.311931
-7.498058,10,2.314234
-11.569233,10,2.316858
-15.403694,10,2.319412
-4.24064,10,2.321738
-2.186139,10,2.324477
-2.944908,10,2.327095
-5.148096,10,2.329813
-6.848896,10,2.34747
-17.06437,10,2.350042
-5.593302,10,2.352616
-8.373934,10,2.355159
-5.724378,10,2.35766
-1.907725,10,2.360192
-8.453055,10,2.362687
-2.658121,10,2.365211
-1.593111,10,2.367719
-2.655166,10,2.370144
-14.707813,10,2.388194
-7.330114,10,2.390892
-2.330803,10,2.393553
-2.249644,10,2.396086
-3.183924,10,2.398601
-3.085192,10,2.401153
-5.657906,10,2.40375
-3.897723,10,2.406284
-8.924944,10,2.408924
-3.556175,10,2.411453
-4.239988,10,2.429722
-38.833582,10,2.432304
-2.276324,10,2.435099
-6.94692,10,2.437714
-17.387386,10,2.440457
-33.808302,10,2.442747
-3.565149,10,2.44527
-2.051105,10,2.447758
-4.561709,10,2.450245
-1.193456,10,2.453294
-3.296285,10,2.471945
-1.150517,10,2.474486
-6.017645,10,2.477297
-9.178214,10,2.479702
-8.943425,10,2.482049
-3.884629,10,2.484817
-3.818077,10,2.487492
-7.052441,10,2.489819
-4.568374,10,2.492422
-45.773558,10,2.495007
-20.36124,10,2.511771
-4.363158,10,2.514291
-2.629128,10,2.516826
-8.30489,10,2.519394
-5.580687,10,2.523246
-1.802195,10,2.526206
-4.969451,10,2.528766
-11.188077,10,2.531239
-12.857179,10,2.534267
-2.571206,10,2.536827
-1.445016,10,2.553808
-11.188032,10,2.556347
-2.425812,10,2.558861
-4.298725,10,2.561369
-4.021111,10,2.563775
-7.339637,10,2.566287
-11.139097,10,2.568769
-7.623307,10,2.571275
-3.147919,10,2.573778
-3.198595,10,2.576294
-2.635965,10,2.592629
-17.260189,10,2.595187
-4.251991,10,2.597713
-15.055894,10,2.600262
-13.555272,10,2.602787
-3.749486,10,2.605316
-4.544197,10,2.607777
-3.590746,10,2.610291
-11.307783,10,2.61267
-5.548737,10,2.615104
-2.244189,10,2.632214
-23.893644,10,2.635001
-4.54617,10,2.637346
-4.508205,10,2.639866
-4.326506,10,2.64235
-17.007531,10,2.644978
-4.364828,10,2.647685
-3.815412,10,2.650237
-6.311451,10,2.652936
-1.897243,10,2.655419
-11.422884,10,2.673347
-5.723006,10,2.675901
-3.125511,10,2.678428
-5.283791,10,2.680949
-4.967126,10,2.683661
-10.324296,10,2.686591
-2.791173,10,2.689253
-1.78941,10,2.691846
-2.428518,10,2.694363
-3.604447,10,2.696917
-2.781425,10,2.714641
-14.589049,10,2.717295
-4.405993,10,2.719853
-5.729387,10,2.722542
-3.425175,10,2.725084
-26.874456,10,2.727497
-3.881188,10,2.729919
-4.882003,10,2.732402
-12.724093,10,2.734968
-2.859815,10,2.737531
-3.405075,10,2.754546
-4.116981,10,2.757077
-8.696485,10,2.759597
-5.161901,10,2.762132
-1.107623,10,2.764675
-13.598643,10,2.767241
-4.693629,10,2.769788
-17.690151,10,2.772312
-8.141506,10,2.774839
-3.452631,10,2.777371
-7.988977,10,2.794216
-4.759854,10,2.796755
-5.621237,10,2.799304
-15.935555,10,2.80185
-12.916285,10,2.804404
-11.933278,10,2.806936
-6.810377,10,2.809454
-2.983478,10,2.811936
-20.215641,10,2.814453
-3.328052,10,2.817023
-3.334659,10,2.835734
-5.360162,10,2.838278
-17.313572,10,2.840912
-6.874674,10,2.84349
-1.764336,10,2.845927
-14.333517,10,2.848463
-5.629546,10,2.850887
-3.266229,10,2.853461
-4.619814,10,2.856175
-9.062566,10,2.85846
-10.234723,10,2.876531
-4.053957,10,2.879314
-16.389844,10,2.882085
-4.345948,10,2.884533
-4.659376,10,2.886862
-11.307508,10,2.889784
-1.749405,10,2.892298
-3.68557,10,2.894792
-11.946412,10,2.897332
-3.236435,10,2.899958
-1.548181,10,2.917241
-11.778547,10,2.919922
-3.526316,10,2.92251
-7.938341,10,2.925036
-6.46441,10,2.927559
-8.945054,10,2.930071
-4.480814,10,2.932594
-4.56814,10,2.935112
-8.263914,10,2.937626
-7.799831,10,2.940168
-2.55156,10,2.956666
-2.081954,10,2.959172
-6.316116,10,2.961687
-6.480616,10,2.9642
-3.091579,10,2.966717
-1.380064,10,2.969241
-9.847582,10,2.971745
-7.063145,10,2.97425
-43.524813,10,2.976809
-2.805268,10,2.979375
-1.135856,10,2.995614
-4.772747,10,2.998516
-11.143164,10,3.001196
-9.522792,10,3.004118
-7.64296,10,3.006645
-4.658511,10,3.009178
-8.613637,10,3.011687
-7.412708,10,3.014203
-10.773159,10,3.016723
-9.524909,10,3.019251
-3.106419,10,3.038657
-4.153041,10,3.0412
-2.705891,10,3.043776
-3.145897,10,3.046513
-7.842113,10,3.049289
-9.089084,10,3.051952
-2.00894,10,3.054287
-32.76096,10,3.05723
-7.046566,10,3.059786
-5.623572,10,3.06231
-2.868688,10,3.079916
-4.763143,10,3.08228
-12.897318,10,3.084841
-4.62043,10,3.087154
-16.48048,10,3.089683
-3.168828,10,3.092289
-6.659178,10,3.094895
-5.56011,10,3.097494
-5.201366,10,3.100194
-13.747549,10,3.103096
-38.334606,10,3.11913
-2.342628,10,3.121702
-13.317564,10,3.124279
-6.921512,10,3.126786
-4.302065,10,3.1291
-5.501333,10,3.131581
-4.770339,10,3.133867
-11.204578,10,3.136322
-2.271514,10,3.138849
-10.030528,10,3.141392
-8.105985,10,3.158008
-8.284462,10,3.160335
-2.964314,10,3.162583
-8.09218,10,3.16512
-148.050043,10,3.167701
-2.20981,10,3.170266
-7.651148,10,3.172678
-3.394307,10,3.175217
-6.456063,10,3.177743
-1.529908,10,3.18023
-2.140235,10,3.196584
-9.790634,10,3.199137
-7.004997,10,3.201674
-5.627969,10,3.204211
-4.567198,10,3.206736
-2.550765,10,3.209303
-2.200214,10,3.211864
-5.064528,10,3.214396
-2.775667,10,3.216963
-13.037538,10,3.219527
-3.0596,10,3.237101
-11.415274,10,3.239695
-2.581796,10,3.242088
-8.78228,10,3.244812
-5.890503,10,3.247313
-2.63782,10,3.249866
-9.61668,10,3.252656
-3.978508,10,3.254947
-4.59795,10,3.257246
-4.020779,10,3.259748
-11.875288,10,3.277917
-2.465022,10,3.280508
-8.451958,10,3.283132
-3.439886,10,3.286035
-8.324433,10,3.288571
-56.858124,10,3.290978
-3.710934,10,3.293485
-5.202553,10,3.296281
-5.544718,10,3.298882
-5.819962,10,3.301513
-12.119492,10,3.318853
-30.369452,10,3.321401
-2.728684,10,3.323912
-4.767464,10,3.32642
-9.07497,10,3.328928
-3.679864,10,3.331389
-12.719403,10,3.333916
-5.64099,10,3.336423
-9.30871,10,3.338794
-6.246082,10,3.34111
-5.269456,10,3.358058
-2.513528,10,3.360663
-2.333177,10,3.363184
-2.591121,10,3.365651
-8.948156,10,3.368256
-3.217032,10,3.370742
-4.125599,10,3.373274
-11.018311,10,3.375845
-5.125964,10,3.378371
-6.988494,10,3.380834
-5.25337,10,3.397561
-3.822683,10,3.399859
-3.892357,10,3.402264
-13.316426,10,3.404829
-14.004395,10,3.407211
-5.676874,10,3.409663
-3.544909,10,3.412277
-2.941767,10,3.414888
-5.470704,10,3.417408
-2.509548,10,3.420016
-3.226344,10,3.439081
-12.287409,10,3.441613
-12.34338,10,3.444139
-5.613632,10,3.446646
-3.559491,10,3.449147
-36.47085,10,3.4518
-15.69492,10,3.454319
-17.109602,10,3.456852
-14.288084,10,3.459368
-4.530782,10,3.461939
-2.259977,10,3.480011
-12.343506,10,3.482542
-2.653702,10,3.48508
-3.638929,10,3.487617
-2.922971,10,3.48989
-3.57284,10,3.492752
-14.265658,10,3.495299
-2.410959,10,3.497844
-5.393516,10,3.500434
-3.38209,10,3.503056
-3.52471,10,3.52048
-3.455656,10,3.52296
-1.431152,10,3.525486
-16.574017,10,3.527986
-10.433956,10,3.530459
-7.242433,10,3.532928
-6.139325,10,3.535461
-9.396232,10,3.537971
-7.576255,10,3.540482
-27.677073,10,3.54297
-6.442933,10,3.559548
-39.176674,10,3.562075
-17.882906,10,3.564363
-5.488279,10,3.566758
-5.346782,10,3.569007
-2.756805,10,3.571462
-7.124838,10,3.573966
-7.470178,10,3.576464
-2.032032,10,3.578974
-13.247167,10,3.581475
-4.145897,10,3.597744
-3.440352,10,3.600292
-11.974632,10,3.602764
-6.049218,10,3.605292
-19.063656,10,3.607797
-7.946153,10,3.610327
-2.018049,10,3.613131
-16.94545,10,3.615693
-7.890187,10,3.61828
-13.940887,10,3.620805
-2.749785,10,3.638139
-4.612189,10,3.640795
-7.21339,10,3.643234
-5.043777,10,3.645807
-6.22508,10,3.648418
-10.611642,10,3.650955
-24.074543,10,3.653279
-4.700012,10,3.655567
-4.136397,10,3.658221
-4.33285,10,3.660767
-9.188244,10,3.678523
-3.015799,10,3.68142
-5.504523,10,3.684005
-3.841437,10,3.686367
-12.403212,10,3.688693
-14.520029,10,3.691286
-6.232246,10,3.694014
-1.305136,10,3.696623
-2.108425,10,3.699218
-8.746614,10,3.701727
-4.168554,10,3.719218
-4.638335,10,3.7215
-2.174292,10,3.723841
-4.987127,10,3.726565
-6.233827,10,3.729118
-4.605132,10,3.731663
-4.614323,10,3.734233
-2.932136,10,3.736881
-3.135986,10,3.739437
-5.75987,10,3.742013
-9.929708,10,3.758788
-1.86059,10,3.761305
-3.17897,10,3.763813
-4.254767,10,3.766344
-13.417513,10,3.769005
-3.22458,10,3.771565
-3.211101,10,3.774098
-2.97556,10,3.776637
-4.2588,10,3.779167
-6.604724,10,3.78164
-13.848336,10,3.797836
-1.42239,10,3.800349
-6.697974,10,3.802872
-29.494262,10,3.805333
-9.979556,10,3.807987
-3.445169,10,3.810553
-3.473203,10,3.813097
-17.11124,10,3.815709
-2.388448,10,3.818294
-3.196254,10,3.820834
-7.067517,10,3.83823
-7.066049,10,3.841147
-5.325927,10,3.843713
-8.250557,10,3.846145
-1.587329,10,3.848444
-9.034302,10,3.850876
-12.92018,10,3.853132
-4.670415,10,3.855676
-3.865706,10,3.858166
-2.405369,10,3.861164
-4.424532,10,3.878546
-6.156716,10,3.881053
-8.443949,10,3.883596
-3.307588,10,3.886535
-3.604242,10,3.888845
-14.720212,10,3.891105
-2.861909,10,3.893335
-1.87291,10,3.895634
-3.336365,10,3.898157
-19.961084,10,3.900695
-10.086141,10,3.918476
-4.297555,10,3.921043
-4.727401,10,3.923342
-6.966831,10,3.925938
-2.447007,10,3.928459
-12.884525,10,3.931012
-2.401549,10,3.933523
-10.612486,10,3.936067
-2.902391,10,3.938352
-4.588649,10,3.940616
-7.949794,10,3.958042
-3.487454,10,3.960643
-12.769895,10,3.963183
-3.658716,10,3.965735
-4.584399,10,3.968234
-4.402027,10,3.970776
-9.571432,10,3.97331
-11.166919,10,3.975895
-12.073591,10,3.978425
-2.547309,10,3.981
-5.32597,10,3.997933
-15.771761,10,4.000514
-16.215913,10,4.003036
-5.405266,10,4.005549
-3.863346,10,4.008054
-5.772693,10,4.010586
-3.20915,10,4.013168
-4.142324,10,4.015762
-4.944252,10,4.018313
-5.795273,10,4.020852
-1.184833,10,4.038157
-3.831638,10,4.040711
-8.876882,10,4.043216
-3.698548,10,4.045722
-15.903277,10,4.04823
-8.228537,10,4.050779
-3.540699,10,4.053334
-2.109291,10,4.055898
-3.150297,10,4.058448
-29.122683,10,4.061016
-16.826258,10,4.078263
-2.490806,10,4.080811
-1.543191,10,4.08338
-4.105135,10,4.085898
-1.781588,10,4.088175
-7.910125,10,4.090425
-2.896244,10,4.092713
-18.426033,10,4.095229
-19.138018,10,4.097788
-2.572429,10,4.100342
-12.969819,10,4.117414
-5.92767,10,4.119886
-7.345069,10,4.122189
-4.120461,10,4.124673
-15.197765,10,4.127263
-11.76042,10,4.129789
-15.847922,10,4.132431
-3.161182,10,4.134952
-3.047947,10,4.13723
-5.34154,10,4.139861
-3.27591,10,4.157311
-21.898392,10,4.159593
-4.641158,10,4.161841
-7.293189,10,4.164144
-2.329039,10,4.166434
-5.828207,10,4.168679
-2.811058,10,4.17092
-14.059895,10,4.173204
-31.414355,10,4.17574
-3.871425,10,4.178302
-2.291889,10,4.194723
-2.347903,10,4.197241
-1.65777,10,4.199819
-4.196938,10,4.202264
-1.90616,10,4.204841
-14.761197,10,4.207381
-10.568704,10,4.209921
-11.57587,10,4.21243
-2.017716,10,4.214997
-2.963549,10,4.217606
-5.232587,10,4.233899
