loss_pol_surr,ev_tdlam_before,EpRewMean,loss_vf_loss,loss_pol_entpen,EpLenMean,TimestepsSoFar,TimeElapsed,EpisodesSoFar,loss_ent,EpThisIter,loss_kl
-0.08279905,0.0460965633392334,-14.199466951062359,20.635113,0.0,16.0,17760,7.561543703079224,1110,7.981979,10,0.019805254
-0.0955258,-0.02201402187347412,-13.718517968652241,32.45606,0.0,16.0,17920,7.627384185791016,1120,7.97211,10,0.021790825
-0.04530149,0.10725510120391846,-12.79276647672243,52.32662,0.0,16.0,18080,7.69160008430481,1130,7.963402,10,0.012096321
-0.08228086,0.02566629648208618,-12.458805904861851,57.48969,0.0,16.0,18240,7.756264686584473,1140,7.9539256,10,0.019442145
-0.0679916,0.04318058490753174,-13.698245279172765,329.80957,0.0,16.0,18400,7.821718454360962,1150,7.951313,10,0.013394196
-0.057846017,0.029289662837982178,-13.56022633336459,19.987408,0.0,16.0,18560,7.887850999832153,1160,7.9445887,10,0.008821022
-0.009098511,0.10452020168304443,-13.107129439766698,20.346008,0.0,16.0,18720,7.954590559005737,1170,7.9403925,10,0.02489895
-0.032108393,0.14931732416152954,-13.340015876378038,29.815636,0.0,16.0,18880,8.022356986999512,1180,7.938178,10,0.027261311
-0.07751291,0.2749277949333191,-13.635947961906044,18.654564,0.0,16.0,19040,8.091203689575195,1190,7.943513,10,0.019502185
-0.10440263,0.1397671103477478,-13.821861108754009,23.883121,0.0,16.0,19200,8.157320976257324,1200,7.959819,10,0.01274416
-0.031928338,0.021460890769958496,-14.597743112515932,167.42912,0.0,16.0,19360,8.22356128692627,1210,7.9673266,10,0.018667782
-0.061540663,-0.11740636825561523,-14.240346479320321,43.78547,0.0,16.0,19520,8.288833141326904,1220,7.9754677,10,0.015767109
-0.02886672,0.12412559986114502,-13.747790598763226,15.068279,0.0,16.0,19680,8.357475996017456,1230,7.9735684,10,0.012565125
0.0014907606,0.32134246826171875,-13.578689579357274,17.78139,0.0,16.0,19840,8.431623458862305,1240,7.973194,10,0.023510886
-0.018458283,0.23591595888137817,-12.894756617077494,30.82863,0.0,16.0,20000,8.504903554916382,1250,7.972985,10,0.015665524
0.02986455,0.013380944728851318,-15.311942253257572,1533.0472,0.0,16.0,20160,8.57828950881958,1260,7.977504,10,0.00930055
0.0059239157,0.22069984674453735,-15.530577600867883,51.139397,0.0,16.0,20320,8.647207498550415,1270,7.979889,10,0.013775606
-0.045703545,0.06881088018417358,-15.049477809658454,21.744705,0.0,16.0,20480,8.713013648986816,1280,7.9814906,10,0.01052803
-0.013443209,0.15886831283569336,-14.913695724407253,51.397285,0.0,16.0,20640,8.779700756072998,1290,7.986199,10,0.016011896
-0.060361817,0.12280791997909546,-15.224869342815959,59.450844,0.0,16.0,20800,8.849081993103027,1300,7.9882727,10,0.009729511
-0.026814416,0.005634009838104248,-14.121612355112827,20.6655,0.0,16.0,20960,8.919277429580688,1310,7.9921837,10,0.018442309
-0.06268663,0.22281724214553833,-14.567336969174512,32.9349,0.0,16.0,21120,8.986626625061035,1320,7.9936376,10,0.018131377
-0.07018089,0.5043269097805023,-14.783777665869412,12.694336,0.0,16.0,21280,9.05819296836853,1330,8.001388,10,0.010890246
-0.049922124,-0.03008592128753662,-14.522602158754637,31.468296,0.0,16.0,21440,9.127291679382324,1340,8.001335,10,0.023103733
-0.080731995,0.11506086587905884,-14.416611482144255,46.193848,0.0,16.0,21600,9.194098234176636,1350,7.9921765,10,0.009919701
-0.05434976,0.24067848920822144,-12.21079462214074,14.618774,0.0,16.0,21760,9.264029264450073,1360,7.9786882,10,0.018480329
-0.07478884,0.3057311177253723,-12.242228561470046,22.00764,0.0,16.0,21920,9.333324432373047,1370,7.9597855,10,0.016856443
-0.009396022,0.03554797172546387,-12.762294882854524,62.493225,0.0,16.0,22080,9.399033784866333,1380,7.9402323,10,0.019193657
-0.030044481,0.1740681529045105,-13.169425959423066,31.40477,0.0,16.0,22240,9.467714548110962,1390,7.926353,10,0.010181921
-0.078268275,0.32393455505371094,-12.892652155392513,14.539778,0.0,16.0,22400,9.536688566207886,1400,7.915176,10,0.022469487
-0.04355161,0.34386783838272095,-13.26334008418698,28.997887,0.0,16.0,22560,9.60521149635315,1410,7.910984,10,0.019963633
0.0045754444,0.04053342342376709,-13.613379154468484,126.55551,0.0,16.0,22720,9.671524286270142,1420,7.899113,10,0.02169475
-0.059005644,-0.07747817039489746,-13.282041647983126,15.070017,0.0,16.0,22880,9.741109371185303,1430,7.8916125,10,0.013719635
-0.13958448,0.1570061445236206,-14.078506167478288,67.63265,0.0,16.0,23040,9.808112859725952,1440,7.8907857,10,0.022061702
-0.07340625,0.20493632555007935,-13.145853538471938,11.7072735,0.0,16.0,23200,9.874644756317139,1450,7.881942,10,0.024269706
-0.04810124,-0.030106544494628906,-13.258038977226956,50.90583,0.0,16.0,23360,9.945425748825073,1460,7.869164,10,0.013083667
-0.08590911,0.26822036504745483,-13.158422856068775,19.659332,0.0,16.0,23520,10.013288259506226,1470,7.861653,10,0.019658212
-0.028796118,0.3130052089691162,-12.558901480130658,7.5012426,0.0,16.0,23680,10.080818176269531,1480,7.8627357,10,0.01330276
-0.12999627,0.10948938131332397,-12.096350799945306,12.431942,0.0,16.0,23840,10.148754358291626,1490,7.8556294,10,0.019475281
-0.084549665,-0.08334898948669434,-11.505399646630664,13.843631,0.0,16.0,24000,10.21328592300415,1500,7.8440013,10,0.030475764
-0.017550781,0.07435852289199829,-11.568395723671937,35.041397,0.0,16.0,24160,10.281121015548706,1510,7.8350224,10,0.017302735
-0.04053323,0.14023268222808838,-10.635379660003382,11.825544,0.0,16.0,24320,10.34932279586792,1520,7.8296475,10,0.0236394
-0.06656052,0.09966570138931274,-11.384444090211318,80.131165,0.0,16.0,24480,10.41631555557251,1530,7.825337,10,0.02116356
-0.038977552,0.06181168556213379,-10.474384123308976,17.561024,0.0,16.0,24640,10.486741781234741,1540,7.812965,10,0.020684078
-0.10157741,0.17694520950317383,-10.800473373065929,20.569962,0.0,16.0,24800,10.557990550994873,1550,7.800911,10,0.012527492
-0.054233935,0.24569231271743774,-10.815657519500833,13.365062,0.0,16.0,24960,10.623160362243652,1560,7.79552,10,0.019874647
-0.13369818,0.08503776788711548,-11.297898224971295,83.059425,0.0,16.0,25120,10.690040349960327,1570,7.783112,10,0.014298151
-0.053017527,0.3426246643066406,-11.808127988878962,16.983496,0.0,16.0,25280,10.760471105575562,1580,7.777169,10,0.02505326
-0.052453443,0.12608659267425537,-12.71931608658108,107.83507,0.0,16.0,25440,10.827148199081421,1590,7.7754245,10,0.015810817
-0.04483618,0.29801154136657715,-13.409689727754348,29.670609,0.0,16.0,25600,10.895561218261719,1600,7.7722545,10,0.022415143
-0.11392766,-0.10629379749298096,-12.962097922932037,17.059372,0.0,16.0,25760,10.966034173965454,1610,7.7720804,10,0.018372932
-0.06524091,0.21227937936782837,-13.016289734208051,17.71916,0.0,16.0,25920,11.034085512161255,1620,7.7642984,10,0.032018755
-0.06018618,-0.11607861518859863,-12.54688294394446,20.967997,0.0,16.0,26080,11.105115413665771,1630,7.753384,10,0.020872273
-0.03768579,0.1494084596633911,-12.559281891238093,14.758259,0.0,16.0,26240,11.175225257873535,1640,7.747974,10,0.013772028
-0.16857994,0.2726871371269226,-12.610051408779741,11.618228,0.0,16.0,26400,11.241283655166626,1650,7.7433233,10,0.017306112
-0.05276892,0.01956915855407715,-12.873193611553837,75.922806,0.0,16.0,26560,11.311999559402466,1660,7.732205,10,0.014624991
-0.040532816,0.08796507120132446,-12.74996310944838,139.97002,0.0,16.0,26720,11.381507158279419,1670,7.729328,10,0.009816291
-0.00733597,0.10247355699539185,-12.56227892921867,10.462098,0.0,16.0,26880,11.448682069778442,1680,7.714755,10,0.0208581
-0.10730795,0.28965699672698975,-11.598141612187339,19.069592,0.0,16.0,27040,11.518293142318726,1690,7.7021303,10,0.023746902
-0.07960889,0.3677513003349304,-11.234502251621853,11.138084,0.0,16.0,27200,11.591141939163208,1700,7.690858,10,0.027024068
0.006371787,0.18567484617233276,-11.866826163891849,26.852436,0.0,16.0,27360,11.660488367080688,1710,7.694576,10,0.01921651
-0.048694804,0.07910114526748657,-12.338239449950006,111.94159,0.0,16.0,27520,11.729252099990845,1720,7.694703,10,0.038226772
-0.0051230416,0.046859145164489746,-12.205800907783473,12.356593,0.0,16.0,27680,11.797682046890259,1730,7.6849294,10,0.014662316
-0.08336416,0.1212427020072937,-13.003791651251877,116.42723,0.0,16.0,27840,11.869831562042236,1740,7.675708,10,0.022876844
-0.036363833,0.2666786313056946,-12.894384356392829,12.916462,0.0,16.0,28000,11.9386887550354,1750,7.6712766,10,0.022289468
-0.07361305,0.21559053659439087,-12.338271539396281,11.206056,0.0,16.0,28160,12.016170024871826,1760,7.67067,10,0.01817061
-0.07847012,0.12739437818527222,-11.583789306115937,8.141671,0.0,16.0,28320,12.089339971542358,1770,7.672656,10,0.02261137
-0.04900653,0.08101415634155273,-12.181450612091572,83.08715,0.0,16.0,28480,12.159825563430786,1780,7.670093,10,0.017716933
-0.07499285,0.05711585283279419,-12.551368212589052,52.82023,0.0,16.0,28640,12.22920274734497,1790,7.65768,10,0.027404437
-0.015796028,0.3800927996635437,-12.507168068527637,12.843193,0.0,16.0,28800,12.298495054244995,1800,7.65622,10,0.022849493
-0.02196126,0.1776142120361328,-11.990024044333065,17.224113,0.0,16.0,28960,12.369589567184448,1810,7.658208,10,0.023084365
-0.12903816,0.34049272537231445,-11.11551463041968,6.003417,0.0,16.0,29120,12.44068717956543,1820,7.6595426,10,0.017859768
-0.09355156,0.21997863054275513,-11.177586082874463,9.87956,0.0,16.0,29280,12.508185148239136,1830,7.65471,10,0.03569192
-0.0134799555,0.21973520517349243,-10.171445415041164,5.5813837,0.0,16.0,29440,12.578386306762695,1840,7.6486807,10,0.018702023
-0.02612417,0.04523873329162598,-10.06612672565409,14.032928,0.0,16.0,29600,12.645853757858276,1850,7.6422496,10,0.028181907
-0.05752659,0.05697673559188843,-10.3727586041874,54.02729,0.0,16.0,29760,12.711873769760132,1860,7.6328807,10,0.029057156
-0.14043888,0.24644941091537476,-10.569863116696219,8.960499,0.0,16.0,29920,12.780647039413452,1870,7.6290693,10,0.02777459
